,song,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
2649,"Dammit, I Changed Again",['The Offspring'],0.408,0.943,5,-4.995,0,0.045,3.37e-05,0.0214,0.118,0.659,174.453,audio_features,2wInvm8hrvonqyArYUIpvi,spotify:track:2wInvm8hrvonqyArYUIpvi,https://api.spotify.com/v1/tracks/2wInvm8hrvonqyArYUIpvi,https://api.spotify.com/v1/audio-analysis/2wInvm8hrvonqyArYUIpvi,168893,4
2650,Conspiracy Of None,['Antidote'],0.307,0.976,5,-3.687,1,0.193,0.000316,0.00526,0.36,0.741,126.81,audio_features,4gjdWFSNa3GmiFO6UV24pS,spotify:track:4gjdWFSNa3GmiFO6UV24pS,https://api.spotify.com/v1/tracks/4gjdWFSNa3GmiFO6UV24pS,https://api.spotify.com/v1/audio-analysis/4gjdWFSNa3GmiFO6UV24pS,128173,4
2651,Living In Chaos,['The Offspring'],0.582,0.911,1,-4.948,1,0.0329,0.000384,2.42e-05,0.212,0.925,99.783,audio_features,74BoTxl8daLAiFuxD2cGFP,spotify:track:74BoTxl8daLAiFuxD2cGFP,https://api.spotify.com/v1/tracks/74BoTxl8daLAiFuxD2cGFP,https://api.spotify.com/v1/audio-analysis/74BoTxl8daLAiFuxD2cGFP,208320,4
2652,Special Delivery,['The Offspring'],0.765,0.798,3,-6.497,0,0.0438,0.000389,0.000969,0.0317,0.94,135.677,audio_features,5gaaxDT2FRnWWnlOaKr2NO,spotify:track:5gaaxDT2FRnWWnlOaKr2NO,https://api.spotify.com/v1/tracks/5gaaxDT2FRnWWnlOaKr2NO,https://api.spotify.com/v1/audio-analysis/5gaaxDT2FRnWWnlOaKr2NO,180453,4
2653,Maledictum,['Ben Hoo'],0.837,0.564,0,-12.573,1,0.134,0.0156,0.852,0.0681,0.312,122.002,audio_features,5TM19Y6xVtTe0BZD2lnZ2u,spotify:track:5TM19Y6xVtTe0BZD2lnZ2u,https://api.spotify.com/v1/tracks/5TM19Y6xVtTe0BZD2lnZ2u,https://api.spotify.com/v1/audio-analysis/5TM19Y6xVtTe0BZD2lnZ2u,460583,4
2654,Maledictum - Nick Galemore Late Mix,"['Ben Hoo', 'Nick Galemore']",0.833,0.359,2,-18.999,1,0.0739,0.502,0.783,0.0918,0.0958,119.996,audio_features,0Bz90FNaFYupUGpmoGjdx1,spotify:track:0Bz90FNaFYupUGpmoGjdx1,https://api.spotify.com/v1/tracks/0Bz90FNaFYupUGpmoGjdx1,https://api.spotify.com/v1/audio-analysis/0Bz90FNaFYupUGpmoGjdx1,408258,4
2655,Maledictum - Nicolas Duvoisin Remix,"['Ben Hoo', 'Nicolas Duvoisin']",0.812,0.665,1,-11.184,0,0.095,0.000477,0.826,0.0913,0.285,125.016,audio_features,4ahlLcVvHz5NqqZW1acQiH,spotify:track:4ahlLcVvHz5NqqZW1acQiH,https://api.spotify.com/v1/tracks/4ahlLcVvHz5NqqZW1acQiH,https://api.spotify.com/v1/audio-analysis/4ahlLcVvHz5NqqZW1acQiH,465933,4
2656,"Aqui, Ali, Em Qualquer Lugar",['Rita Lee'],0.609,0.261,4,-15.079,1,0.0304,0.822,1.12e-06,0.0798,0.376,92.059,audio_features,7LYqeyKiDMWPnU6tzfqSwE,spotify:track:7LYqeyKiDMWPnU6tzfqSwE,https://api.spotify.com/v1/tracks/7LYqeyKiDMWPnU6tzfqSwE,https://api.spotify.com/v1/audio-analysis/7LYqeyKiDMWPnU6tzfqSwE,149133,4
2657,Minha Vida,['Rita Lee'],0.575,0.154,9,-15.055,1,0.0351,0.902,0.0,0.146,0.447,101.967,audio_features,2OIDEIfnVoVUtFnhlasLqf,spotify:track:2OIDEIfnVoVUtFnhlasLqf,https://api.spotify.com/v1/tracks/2OIDEIfnVoVUtFnhlasLqf,https://api.spotify.com/v1/audio-analysis/2OIDEIfnVoVUtFnhlasLqf,144640,4
2658,In My Life,['Rita Lee'],0.617,0.151,4,-16.413,1,0.0377,0.9,0.000119,0.132,0.379,101.894,audio_features,3QGTAH2zBXS0EgLdrouSgF,spotify:track:3QGTAH2zBXS0EgLdrouSgF,https://api.spotify.com/v1/tracks/3QGTAH2zBXS0EgLdrouSgF,https://api.spotify.com/v1/audio-analysis/3QGTAH2zBXS0EgLdrouSgF,143893,4
2659,All My Loving,['Rita Lee'],0.701,0.182,2,-17.068,1,0.0381,0.835,0.0276,0.109,0.125,117.885,audio_features,5dIZa3pwSn1vDenZpSBEFO,spotify:track:5dIZa3pwSn1vDenZpSBEFO,https://api.spotify.com/v1/tracks/5dIZa3pwSn1vDenZpSBEFO,https://api.spotify.com/v1/audio-analysis/5dIZa3pwSn1vDenZpSBEFO,185733,4
2660,Conflitos,"['Dexter', 'Função']",0.696,0.563,0,-9.278,1,0.183,0.27,0.0,0.108,0.662,149.964,audio_features,0jEMBk9WnUzTHDq7iURyID,spotify:track:0jEMBk9WnUzTHDq7iURyID,https://api.spotify.com/v1/tracks/0jEMBk9WnUzTHDq7iURyID,https://api.spotify.com/v1/audio-analysis/0jEMBk9WnUzTHDq7iURyID,348212,4
