,SONG,ARTIST,AUDIO FEATURE
10,['Kanye West'],Waves,"[{'danceability': 0.557, 'energy': 0.586, 'key': 10, 'loudness': -4.57, 'mode': 1, 'speechiness': 0.0382, 'acousticness': 0.0528, 'instrumentalness': 7.33e-06, 'liveness': 0.339, 'valence': 0.0681, 'tempo': 96.091, 'type': 'audio_features', 'id': '3nAq2hCr1oWsIU54tS98pL', 'uri': 'spotify:track:3nAq2hCr1oWsIU54tS98pL', 'track_href': 'https://api.spotify.com/v1/tracks/3nAq2hCr1oWsIU54tS98pL', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3nAq2hCr1oWsIU54tS98pL', 'duration_ms': 181573, 'time_signature': 4}]"
11,['Dean Lewis'],Waves,"[{'danceability': 0.518, 'energy': 0.729, 'key': 11, 'loudness': -7.193, 'mode': 0, 'speechiness': 0.0452, 'acousticness': 0.183, 'instrumentalness': 0, 'liveness': 0.0643, 'valence': 0.343, 'tempo': 156.879, 'type': 'audio_features', 'id': '6w8pFOKn42O418qwcQElZ3', 'uri': 'spotify:track:6w8pFOKn42O418qwcQElZ3', 'track_href': 'https://api.spotify.com/v1/tracks/6w8pFOKn42O418qwcQElZ3', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6w8pFOKn42O418qwcQElZ3', 'duration_ms': 240013, 'time_signature': 4}]"
12,"['Miguel', 'Tame Impala']",waves - Tame Impala Remix,"[{'danceability': 0.529, 'energy': 0.894, 'key': 2, 'loudness': -3.599, 'mode': 1, 'speechiness': 0.0412, 'acousticness': 0.308, 'instrumentalness': 5.38e-06, 'liveness': 0.254, 'valence': 0.543, 'tempo': 108.024, 'type': 'audio_features', 'id': '3lB0GMiI5KxDbTOG8V3bOx', 'uri': 'spotify:track:3lB0GMiI5KxDbTOG8V3bOx', 'track_href': 'https://api.spotify.com/v1/tracks/3lB0GMiI5KxDbTOG8V3bOx', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3lB0GMiI5KxDbTOG8V3bOx', 'duration_ms': 253347, 'time_signature': 4}]"
13,"['Mr. Probz', 'Robin Schulz']",Waves - Robin Schulz Radio Edit,"[{'danceability': 0.829, 'energy': 0.51, 'key': 5, 'loudness': -9.334, 'mode': 0, 'speechiness': 0.0369, 'acousticness': 0.00821, 'instrumentalness': 0.00143, 'liveness': 0.0829, 'valence': 0.45, 'tempo': 119.994, 'type': 'audio_features', 'id': '1HFfMOxCAT4GAwaPfCdmUs', 'uri': 'spotify:track:1HFfMOxCAT4GAwaPfCdmUs', 'track_href': 'https://api.spotify.com/v1/tracks/1HFfMOxCAT4GAwaPfCdmUs', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1HFfMOxCAT4GAwaPfCdmUs', 'duration_ms': 208133, 'time_signature': 4}]"
14,"['Ocean Sounds', 'Ocean Waves For Sleep']",Waves: Calm,"[{'danceability': 0.208, 'energy': 0.989, 'key': 1, 'loudness': -17.595, 'mode': 1, 'speechiness': 0.109, 'acousticness': 0.135, 'instrumentalness': 0.000561, 'liveness': 0.47, 'valence': 0.0154, 'tempo': 118.485, 'type': 'audio_features', 'id': '4Up5JU60ulx6iBv1JfFWOT', 'uri': 'spotify:track:4Up5JU60ulx6iBv1JfFWOT', 'track_href': 'https://api.spotify.com/v1/tracks/4Up5JU60ulx6iBv1JfFWOT', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4Up5JU60ulx6iBv1JfFWOT', 'duration_ms': 56152, 'time_signature': 4}]"
15,['ATEEZ'],Wave,"[{'danceability': 0.624, 'energy': 0.86, 'key': 1, 'loudness': -3.346, 'mode': 1, 'speechiness': 0.0387, 'acousticness': 0.0886, 'instrumentalness': 1.1e-05, 'liveness': 0.123, 'valence': 0.447, 'tempo': 99.968, 'type': 'audio_features', 'id': '28xjm4FnnGI4Xnds7VoNSl', 'uri': 'spotify:track:28xjm4FnnGI4Xnds7VoNSl', 'track_href': 'https://api.spotify.com/v1/tracks/28xjm4FnnGI4Xnds7VoNSl', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/28xjm4FnnGI4Xnds7VoNSl', 'duration_ms': 203933, 'time_signature': 4}]"
16,['Pat Green'],Wave on Wave,"[{'danceability': 0.671, 'energy': 0.755, 'key': 2, 'loudness': -5.274, 'mode': 1, 'speechiness': 0.0252, 'acousticness': 0.178, 'instrumentalness': 2.64e-05, 'liveness': 0.0675, 'valence': 0.362, 'tempo': 103.552, 'type': 'audio_features', 'id': '7rS87NoPWbAkVURdVFbGH9', 'uri': 'spotify:track:7rS87NoPWbAkVURdVFbGH9', 'track_href': 'https://api.spotify.com/v1/tracks/7rS87NoPWbAkVURdVFbGH9', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7rS87NoPWbAkVURdVFbGH9', 'duration_ms': 244373, 'time_signature': 4}]"
17,['Matter and Energy'],Wavelengths,"[{'danceability': 0.0882, 'energy': 0.129, 'key': 2, 'loudness': -23.501, 'mode': 1, 'speechiness': 0.0488, 'acousticness': 0.924, 'instrumentalness': 0.901, 'liveness': 0.1, 'valence': 0.0392, 'tempo': 53.623, 'type': 'audio_features', 'id': '0PA1GVz2ROcqbIgzzGlRru', 'uri': 'spotify:track:0PA1GVz2ROcqbIgzzGlRru', 'track_href': 'https://api.spotify.com/v1/tracks/0PA1GVz2ROcqbIgzzGlRru', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0PA1GVz2ROcqbIgzzGlRru', 'duration_ms': 240847, 'time_signature': 4}]"
18,"['Normani', '6LACK']",Waves (feat. 6LACK),"[{'danceability': 0.578, 'energy': 0.588, 'key': 0, 'loudness': -4.92, 'mode': 0, 'speechiness': 0.255, 'acousticness': 0.415, 'instrumentalness': 0, 'liveness': 0.114, 'valence': 0.3, 'tempo': 79.174, 'type': 'audio_features', 'id': '2qHk6Nz5glNQrjW8Rhd5kv', 'uri': 'spotify:track:2qHk6Nz5glNQrjW8Rhd5kv', 'track_href': 'https://api.spotify.com/v1/tracks/2qHk6Nz5glNQrjW8Rhd5kv', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2qHk6Nz5glNQrjW8Rhd5kv', 'duration_ms': 215671, 'time_signature': 5}]"
19,['Whizzkidluke'],Waves of Rhythm,"[{'danceability': 0.187, 'energy': 0.232, 'key': 10, 'loudness': -20.689, 'mode': 1, 'speechiness': 0.0316, 'acousticness': 0.971, 'instrumentalness': 0.955, 'liveness': 0.269, 'valence': 0.121, 'tempo': 75.269, 'type': 'audio_features', 'id': '0i4wqvqTvvwOv9OtiMAlPC', 'uri': 'spotify:track:0i4wqvqTvvwOv9OtiMAlPC', 'track_href': 'https://api.spotify.com/v1/tracks/0i4wqvqTvvwOv9OtiMAlPC', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0i4wqvqTvvwOv9OtiMAlPC', 'duration_ms': 143621, 'time_signature': 4}]"
