,SONG,ARTIST,AUDIO FEATURE
10,Now That I've Found You,"['Martin Garrix', 'John Martin', 'Michel Zitron']","[{'danceability': 0.495, 'energy': 0.831, 'key': 5, 'loudness': -5.812, 'mode': 0, 'speechiness': 0.0319, 'acousticness': 0.021, 'instrumentalness': 4.79e-05, 'liveness': 0.495, 'valence': 0.414, 'tempo': 128.064, 'type': 'audio_features', 'id': '24tVqMiAtv8jmpNPhBEsDY', 'uri': 'spotify:track:24tVqMiAtv8jmpNPhBEsDY', 'track_href': 'https://api.spotify.com/v1/tracks/24tVqMiAtv8jmpNPhBEsDY', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/24tVqMiAtv8jmpNPhBEsDY', 'duration_ms': 192632, 'time_signature': 5}]"
11,Now That I've Found You,['Liam Gallagher'],"[{'danceability': 0.461, 'energy': 0.892, 'key': 0, 'loudness': -3.38, 'mode': 1, 'speechiness': 0.0397, 'acousticness': 0.000162, 'instrumentalness': 6.73e-05, 'liveness': 0.126, 'valence': 0.573, 'tempo': 129.999, 'type': 'audio_features', 'id': '4QSxcUAwEx5sFitOKZfQDN', 'uri': 'spotify:track:4QSxcUAwEx5sFitOKZfQDN', 'track_href': 'https://api.spotify.com/v1/tracks/4QSxcUAwEx5sFitOKZfQDN', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4QSxcUAwEx5sFitOKZfQDN', 'duration_ms': 200911, 'time_signature': 4}]"
12,Now That I've Found You,"['Paul McDonald', 'Nikki Reed']","[{'danceability': 0.456, 'energy': 0.494, 'key': 1, 'loudness': -11.475, 'mode': 1, 'speechiness': 0.0475, 'acousticness': 0.0887, 'instrumentalness': 0, 'liveness': 0.238, 'valence': 0.375, 'tempo': 179.913, 'type': 'audio_features', 'id': '3Yp0qAhRrYAQsr8h1TUd2v', 'uri': 'spotify:track:3Yp0qAhRrYAQsr8h1TUd2v', 'track_href': 'https://api.spotify.com/v1/tracks/3Yp0qAhRrYAQsr8h1TUd2v', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3Yp0qAhRrYAQsr8h1TUd2v', 'duration_ms': 250698, 'time_signature': 4}]"
13,Now That I've Found You (feat. Déja),"['S3RL', 'Déja']","[{'danceability': 0.481, 'energy': 0.983, 'key': 6, 'loudness': -2.57, 'mode': 1, 'speechiness': 0.0817, 'acousticness': 0.00711, 'instrumentalness': 0.0312, 'liveness': 0.118, 'valence': 0.578, 'tempo': 175.077, 'type': 'audio_features', 'id': '3Ncra0XuKwCQJ0t2ye3S6R', 'uri': 'spotify:track:3Ncra0XuKwCQJ0t2ye3S6R', 'track_href': 'https://api.spotify.com/v1/tracks/3Ncra0XuKwCQJ0t2ye3S6R', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3Ncra0XuKwCQJ0t2ye3S6R', 'duration_ms': 194362, 'time_signature': 4}]"
14,"Baby, Now That I've Found You",['Alison Krauss'],"[{'danceability': 0.725, 'energy': 0.239, 'key': 8, 'loudness': -14.325, 'mode': 1, 'speechiness': 0.031, 'acousticness': 0.908, 'instrumentalness': 0.00675, 'liveness': 0.117, 'valence': 0.435, 'tempo': 115.545, 'type': 'audio_features', 'id': '1yrHbj1OW7ZKz9xbXWyWwJ', 'uri': 'spotify:track:1yrHbj1OW7ZKz9xbXWyWwJ', 'track_href': 'https://api.spotify.com/v1/tracks/1yrHbj1OW7ZKz9xbXWyWwJ', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1yrHbj1OW7ZKz9xbXWyWwJ', 'duration_ms': 228933, 'time_signature': 4}]"
15,Now That I've Found You,['Najee'],"[{'danceability': 0.594, 'energy': 0.425, 'key': 0, 'loudness': -10.317, 'mode': 0, 'speechiness': 0.029, 'acousticness': 0.458, 'instrumentalness': 0.14, 'liveness': 0.0709, 'valence': 0.253, 'tempo': 127.885, 'type': 'audio_features', 'id': '7L6148YmLiVwU4IKfuikOl', 'uri': 'spotify:track:7L6148YmLiVwU4IKfuikOl', 'track_href': 'https://api.spotify.com/v1/tracks/7L6148YmLiVwU4IKfuikOl', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7L6148YmLiVwU4IKfuikOl', 'duration_ms': 384907, 'time_signature': 4}]"
16,Now That I've Found You - MTV Unplugged Live at Hull City Hall,['Liam Gallagher'],"[{'danceability': 0.513, 'energy': 0.735, 'key': 5, 'loudness': -5.366, 'mode': 1, 'speechiness': 0.0292, 'acousticness': 0.373, 'instrumentalness': 5.84e-05, 'liveness': 0.74, 'valence': 0.475, 'tempo': 128.145, 'type': 'audio_features', 'id': '4UrUgpyjt6SCShhZXEHt8o', 'uri': 'spotify:track:4UrUgpyjt6SCShhZXEHt8o', 'track_href': 'https://api.spotify.com/v1/tracks/4UrUgpyjt6SCShhZXEHt8o', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4UrUgpyjt6SCShhZXEHt8o', 'duration_ms': 209823, 'time_signature': 4}]"
17,Now That I've Found You (Version 2),['Paul McDonald & Nikki Reed'],"[{'danceability': 0.548, 'energy': 0.616, 'key': 1, 'loudness': -8.207, 'mode': 1, 'speechiness': 0.0299, 'acousticness': 0.75, 'instrumentalness': 0.000965, 'liveness': 0.269, 'valence': 0.754, 'tempo': 86.42, 'type': 'audio_features', 'id': '3YlodDGwtdtKXArOqsBmNA', 'uri': 'spotify:track:3YlodDGwtdtKXArOqsBmNA', 'track_href': 'https://api.spotify.com/v1/tracks/3YlodDGwtdtKXArOqsBmNA', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3YlodDGwtdtKXArOqsBmNA', 'duration_ms': 224374, 'time_signature': 4}]"
18,Now That I've Found You - Acoustic,['Liam Gallagher'],"[{'danceability': 0.601, 'energy': 0.622, 'key': 10, 'loudness': -3.995, 'mode': 1, 'speechiness': 0.0271, 'acousticness': 0.451, 'instrumentalness': 0, 'liveness': 0.105, 'valence': 0.411, 'tempo': 127.948, 'type': 'audio_features', 'id': '1Ct9Ttvrb9QkWw0j4HBlGb', 'uri': 'spotify:track:1Ct9Ttvrb9QkWw0j4HBlGb', 'track_href': 'https://api.spotify.com/v1/tracks/1Ct9Ttvrb9QkWw0j4HBlGb', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1Ct9Ttvrb9QkWw0j4HBlGb', 'duration_ms': 202608, 'time_signature': 4}]"
19,Now That I've Found You,"['Incognito', 'Imaani']","[{'danceability': 0.524, 'energy': 0.865, 'key': 2, 'loudness': -5.713, 'mode': 1, 'speechiness': 0.13, 'acousticness': 0.0704, 'instrumentalness': 0, 'liveness': 0.0932, 'valence': 0.741, 'tempo': 170.991, 'type': 'audio_features', 'id': '1iarB7eYU5uS2ZqoIClIOd', 'uri': 'spotify:track:1iarB7eYU5uS2ZqoIClIOd', 'track_href': 'https://api.spotify.com/v1/tracks/1iarB7eYU5uS2ZqoIClIOd', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1iarB7eYU5uS2ZqoIClIOd', 'duration_ms': 293467, 'time_signature': 4}]"
